N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
8.717000E+11 7.000E+15 297 1.700E-4 1.247729451E+00 1.247895993E+00 1.217716760E+00 1.217861353E+00
1.022000E+12 7.000E+15 297 1.700E-4 1.248618795E+00 1.248767121E+00 1.218620607E+00 1.218749761E+00
1.198000E+12 7.000E+15 297 1.700E-4 1.249597068E+00 1.249729784E+00 1.219609930E+00 1.219726125E+00
1.404000E+12 7.000E+15 297 1.700E-4 1.250668238E+00 1.250787556E+00 1.220684406E+00 1.220789037E+00
1.645000E+12 7.000E+15 297 1.700E-4 1.251835167E+00 1.251942959E+00 1.221863244E+00 1.221958133E+00
1.928000E+12 7.000E+15 297 1.700E-4 1.253099454E+00 1.253197306E+00 1.223125795E+00 1.223212078E+00
2.260000E+12 7.000E+15 297 1.700E-4 1.254461319E+00 1.254550564E+00 1.224494100E+00 1.224573140E+00
2.649000E+12 7.000E+15 297 1.700E-4 1.255919572E+00 1.256001323E+00 1.225955190E+00 1.226027928E+00
3.105000E+12 7.000E+15 297 1.700E-4 1.257471635E+00 1.257546829E+00 1.227500281E+00 1.227567530E+00
3.639000E+12 7.000E+15 297 1.700E-4 1.259113673E+00 1.259183090E+00 1.229137550E+00 1.229199920E+00
4.266000E+12 7.000E+15 297 1.700E-4 1.260840810E+00 1.260905098E+00 1.230849433E+00 1.230907371E+00
5.000000E+12 7.000E+15 297 1.700E-4 1.262647411E+00 1.262707104E+00 1.232642503E+00 1.232696518E+00
5.000000E+10 7.000E+15 309 1.700E-4 1.242768558E+00 1.244675656E+00 1.216422961E+00 1.218309876E+00
5.861000E+10 7.000E+15 309 1.700E-4 1.243134969E+00 1.244774584E+00 1.216755238E+00 1.218377349E+00
6.869000E+10 7.000E+15 309 1.700E-4 1.243480327E+00 1.244889273E+00 1.217062143E+00 1.218455937E+00
8.051000E+10 7.000E+15 309 1.700E-4 1.243811713E+00 1.245022022E+00 1.217350168E+00 1.218547388E+00
9.437000E+10 7.000E+15 309 1.700E-4 1.244135903E+00 1.245175364E+00 1.217625516E+00 1.218653657E+00
1.106000E+11 7.000E+15 309 1.700E-4 1.244459406E+00 1.245352092E+00 1.217894088E+00 1.218777000E+00
1.296000E+11 7.000E+15 309 1.700E-4 1.244788540E+00 1.245555255E+00 1.218161656E+00 1.218919930E+00
1.520000E+11 7.000E+15 309 1.700E-4 1.245129427E+00 1.245788135E+00 1.218433836E+00 1.219085242E+00
1.781000E+11 7.000E+15 309 1.700E-4 1.245488040E+00 1.246054221E+00 1.218716224E+00 1.219276064E+00
2.088000E+11 7.000E+15 309 1.700E-4 1.245870181E+00 1.246357144E+00 1.219014352E+00 1.219495806E+00
2.447000E+11 7.000E+15 309 1.700E-4 1.246281440E+00 1.246700640E+00 1.219333796E+00 1.219748181E+00
2.868000E+11 7.000E+15 309 1.700E-4 1.246727188E+00 1.247088463E+00 1.219680128E+00 1.220037164E+00
3.362000E+11 7.000E+15 309 1.700E-4 1.247212495E+00 1.247524281E+00 1.220058916E+00 1.220366960E+00
3.940000E+11 7.000E+15 309 1.700E-4 1.247742051E+00 1.248011580E+00 1.220475731E+00 1.220741931E+00
4.618000E+11 7.000E+15 309 1.700E-4 1.248320099E+00 1.248553586E+00 1.220936018E+00 1.221166504E+00
5.413000E+11 7.000E+15 309 1.700E-4 1.248950388E+00 1.249153127E+00 1.221445087E+00 1.221645104E+00
6.345000E+11 7.000E+15 309 1.700E-4 1.249636097E+00 1.249812628E+00 1.222007928E+00 1.222181982E+00
7.437000E+11 7.000E+15 309 1.700E-4 1.250379801E+00 1.250534013E+00 1.222629166E+00 1.222781101E+00
8.717000E+11 7.000E+15 309 1.700E-4 1.251183526E+00 1.251318726E+00 1.223312897E+00 1.223446002E+00
1.022000E+12 7.000E+15 309 1.700E-4 1.252048708E+00 1.252167736E+00 1.224062584E+00 1.224179655E+00
1.198000E+12 7.000E+15 309 1.700E-4 1.252976330E+00 1.253081580E+00 1.224880921E+00 1.224984364E+00
1.404000E+12 7.000E+15 309 1.700E-4 1.253966904E+00 1.254060427E+00 1.225769822E+00 1.225861663E+00
1.645000E+12 7.000E+15 309 1.700E-4 1.255020538E+00 1.255104068E+00 1.226730302E+00 1.226812278E+00
1.928000E+12 7.000E+15 309 1.700E-4 1.256136997E+00 1.256212005E+00 1.227762541E+00 1.227836120E+00
2.260000E+12 7.000E+15 309 1.700E-4 1.257315678E+00 1.257383401E+00 1.228865913E+00 1.228932329E+00
2.649000E+12 7.000E+15 309 1.700E-4 1.258555612E+00 1.258617093E+00 1.230039046E+00 1.230099340E+00
3.105000E+12 7.000E+15 309 1.700E-4 1.259855477E+00 1.259911595E+00 1.231279987E+00 1.231335039E+00
3.639000E+12 7.000E+15 309 1.700E-4 1.261213606E+00 1.261265086E+00 1.232586338E+00 1.232636871E+00
4.266000E+12 7.000E+15 309 1.700E-4 1.262628029E+00 1.262675477E+00 1.233955428E+00 1.234002046E+00
5.000000E+12 7.000E+15 309 1.700E-4 1.264096568E+00 1.264140490E+00 1.235384485E+00 1.235427687E+00
5.000000E+10 7.000E+15 321 1.700E-4 1.232287661E+00 1.234383675E+00 1.221246508E+00 1.223694722E+00
5.861000E+10 7.000E+15 321 1.700E-4 1.232855698E+00 1.234649383E+00 1.221669233E+00 1.223767204E+00
6.869000E+10 7.000E+15 321 1.700E-4 1.233421336E+00 1.234955789E+00 1.222054551E+00 1.223851567E+00
8.051000E+10 7.000E+15 321 1.700E-4 1.233995838E+00 1.235308174E+00 1.222410988E+00 1.223949667E+00
